Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
twitter video download,15,15,110000,70,0.26,https://www.zebracat.ai/post/15-top-free-twitter-video-downloaders,550,8.73,143.00,0,3240000000,"[36,30,24,30,36,82,67,67,45,82,54,82]",2025-01-07,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
film scene generator,1,0,1900,27,0.00,https://www.zebracat.ai/features/ai-scene-generator,471,7.48,0.00,0,21200000,[100],2025-01-07,"Image pack, Reviews, Video, Image, Related searches",commercial,Organic
zebracat,1,1,480,48,0.00,https://www.zebracat.ai/,384,6.1,0.00,0,144000,"[0,2,5,2,4,31,25,100,52,31,31,25]",2025-01-04,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",navigational,Organic
zebracat ai,1,1,210,38,2.32,https://www.zebracat.ai/,168,2.66,389.00,0.26,29900,"[11,8,15,8,8,8,28,44,100,44,66,81]",2024-12-24,"Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
top faceless youtube niches in usa,1,1,390,28,0.00,https://www.zebracat.ai/post/13-best-faceless-youtube-channel-ideas,96,1.52,0.00,0,25200,"[100,0,0,0,0,0,0,0,0,0]",2024-12-13,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
ai scene generator,1,1,390,15,0.92,https://www.zebracat.ai/features/ai-scene-generator,96,1.52,88.00,0.34,83900000,"[66,66,66,81,66,66,66,66,81,81,81,100]",2025-01-05,"Reviews, People also ask, Related searches, Discussions and forums",commercial,Organic
save twitter video,12,13,18100,68,0.24,https://www.zebracat.ai/post/15-top-free-twitter-video-downloaders,90,1.42,21.00,0,2160000000,"[66,66,66,81,66,66,66,81,66,66,66,66]",2025-01-07,"Sitelinks, Reviews, Video, Related searches, Discussions and forums",commercial,Organic
highest earning faceless channels,6,6,2900,45,0.00,https://www.zebracat.ai/post/13-best-faceless-youtube-channel-ideas,63,1,0.00,0,264000,[100],2025-01-04,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches","commercial, informational",Organic
twitter saver,12,12,4400,71,0.00,https://www.zebracat.ai/post/15-top-free-twitter-video-downloaders,57,0.9,0.00,0,3420000000,"[66,81,66,100,54,54,54,81,66,81,81,54]",2025-01-05,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
text to video ai,14,25,8100,70,1.13,https://www.zebracat.ai/features/text-to-video,56,0.88,63.00,0.59,4300000000,"[29,24,100,66,36,36,36,24,24,29,29,24]",2025-01-08,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Related searches",commercial,Organic
whats a textool video production,3,3,1600,6,0.00,https://www.zebracat.ai/post/what-is-a-text-to-video-ai,48,0.76,0.00,0,100,[100],2025-01-02,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
twitter batch downloader 2024,4,4,720,24,0.00,https://www.zebracat.ai/post/15-top-free-twitter-video-downloaders,46,0.73,0.00,0,125000000,"[100,0,0]",2024-12-28,"Sitelinks, Reviews, Video, Related searches",commercial,Organic
zebracatai,1,1,50,34,2.40,https://www.zebracat.ai/,40,0.63,96.00,0.33,66,"[0,0,0,0,0,0,2,100,0,2,53,2]",2025-01-05,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
ai video upload video,5,5,1600,52,0.00,https://www.zebracat.ai/features/turn-your-uploaded-footage-to-video,38,0.6,0.00,0,1930000000,"[100,0,0]",2025-01-05,"Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
